clave,valor,descripcion,valor actual
buildings.TH-53.progress,,TH-53 · avance ejecutado (%),0
buildings.TH-53.planProgress,,TH-53 · avance previsto (%),
buildings.TH-53.deviationDays,,TH-53 · desviación (días),0
buildings.TH-53.forecastFinish,,TH-53 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-54.progress,,TH-54 · avance ejecutado (%),0
buildings.TH-54.planProgress,,TH-54 · avance previsto (%),
buildings.TH-54.deviationDays,,TH-54 · desviación (días),0
buildings.TH-54.forecastFinish,,TH-54 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-55.progress,,TH-55 · avance ejecutado (%),0
buildings.TH-55.planProgress,,TH-55 · avance previsto (%),
buildings.TH-55.deviationDays,,TH-55 · desviación (días),0
buildings.TH-55.forecastFinish,,TH-55 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-56.progress,,TH-56 · avance ejecutado (%),0
buildings.TH-56.planProgress,,TH-56 · avance previsto (%),
buildings.TH-56.deviationDays,,TH-56 · desviación (días),0
buildings.TH-56.forecastFinish,,TH-56 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-57.progress,,TH-57 · avance ejecutado (%),0
buildings.TH-57.planProgress,,TH-57 · avance previsto (%),
buildings.TH-57.deviationDays,,TH-57 · desviación (días),0
buildings.TH-57.forecastFinish,,TH-57 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-58.progress,,TH-58 · avance ejecutado (%),0
buildings.TH-58.planProgress,,TH-58 · avance previsto (%),
buildings.TH-58.deviationDays,,TH-58 · desviación (días),0
buildings.TH-58.forecastFinish,,TH-58 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-59.progress,,TH-59 · avance ejecutado (%),0
buildings.TH-59.planProgress,,TH-59 · avance previsto (%),
buildings.TH-59.deviationDays,,TH-59 · desviación (días),0
buildings.TH-59.forecastFinish,,TH-59 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-60.progress,,TH-60 · avance ejecutado (%),0
buildings.TH-60.planProgress,,TH-60 · avance previsto (%),
buildings.TH-60.deviationDays,,TH-60 · desviación (días),0
buildings.TH-60.forecastFinish,,TH-60 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-61.progress,,TH-61 · avance ejecutado (%),0
buildings.TH-61.planProgress,,TH-61 · avance previsto (%),
buildings.TH-61.deviationDays,,TH-61 · desviación (días),0
buildings.TH-61.forecastFinish,,TH-61 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-62.progress,,TH-62 · avance ejecutado (%),0
buildings.TH-62.planProgress,,TH-62 · avance previsto (%),
buildings.TH-62.deviationDays,,TH-62 · desviación (días),0
buildings.TH-62.forecastFinish,,TH-62 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-63.progress,,TH-63 · avance ejecutado (%),0
buildings.TH-63.planProgress,,TH-63 · avance previsto (%),
buildings.TH-63.deviationDays,,TH-63 · desviación (días),0
buildings.TH-63.forecastFinish,,TH-63 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-64.progress,,TH-64 · avance ejecutado (%),0
buildings.TH-64.planProgress,,TH-64 · avance previsto (%),
buildings.TH-64.deviationDays,,TH-64 · desviación (días),0
buildings.TH-64.forecastFinish,,TH-64 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-65.progress,,TH-65 · avance ejecutado (%),0
buildings.TH-65.planProgress,,TH-65 · avance previsto (%),
buildings.TH-65.deviationDays,,TH-65 · desviación (días),0
buildings.TH-65.forecastFinish,,TH-65 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-66.progress,,TH-66 · avance ejecutado (%),0
buildings.TH-66.planProgress,,TH-66 · avance previsto (%),
buildings.TH-66.deviationDays,,TH-66 · desviación (días),0
buildings.TH-66.forecastFinish,,TH-66 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-67.progress,,TH-67 · avance ejecutado (%),0
buildings.TH-67.planProgress,,TH-67 · avance previsto (%),
buildings.TH-67.deviationDays,,TH-67 · desviación (días),0
buildings.TH-67.forecastFinish,,TH-67 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-68.progress,,TH-68 · avance ejecutado (%),0
buildings.TH-68.planProgress,,TH-68 · avance previsto (%),
buildings.TH-68.deviationDays,,TH-68 · desviación (días),0
buildings.TH-68.forecastFinish,,TH-68 · fin previsto (dd/mm/aaaa),Pendiente de programar
buildings.TH-69.progress,,TH-69 · avance ejecutado (%),0
buildings.TH-69.planProgress,,TH-69 · avance previsto (%),
buildings.TH-69.deviationDays,,TH-69 · desviación (días),0
buildings.TH-69.forecastFinish,,TH-69 · fin previsto (dd/mm/aaaa),Pendiente de programar
