clave,valor,descripcion,valor actual
buildings.TH-03.progress,,TH-03 · avance ejecutado (%),40.6
buildings.TH-03.planProgress,,TH-03 · avance previsto (%),
buildings.TH-03.deviationDays,,TH-03 · desviación (días),58
buildings.TH-03.forecastFinish,,TH-03 · fin previsto (dd/mm/aaaa),12/11/2026
buildings.TH-02.progress,,TH-02 · avance ejecutado (%),34.4
buildings.TH-02.planProgress,,TH-02 · avance previsto (%),
buildings.TH-02.deviationDays,,TH-02 · desviación (días),62
buildings.TH-02.forecastFinish,,TH-02 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-04.progress,,TH-04 · avance ejecutado (%),25
buildings.TH-04.planProgress,,TH-04 · avance previsto (%),
buildings.TH-04.deviationDays,,TH-04 · desviación (días),21
buildings.TH-04.forecastFinish,,TH-04 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-06.progress,,TH-06 · avance ejecutado (%),28.1
buildings.TH-06.planProgress,,TH-06 · avance previsto (%),
buildings.TH-06.deviationDays,,TH-06 · desviación (días),41
buildings.TH-06.forecastFinish,,TH-06 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-01.progress,,TH-01 · avance ejecutado (%),31.2
buildings.TH-01.planProgress,,TH-01 · avance previsto (%),
buildings.TH-01.deviationDays,,TH-01 · desviación (días),51
buildings.TH-01.forecastFinish,,TH-01 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-05.progress,,TH-05 · avance ejecutado (%),28.1
buildings.TH-05.planProgress,,TH-05 · avance previsto (%),
buildings.TH-05.deviationDays,,TH-05 · desviación (días),30
buildings.TH-05.forecastFinish,,TH-05 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-09.progress,,TH-09 · avance ejecutado (%),21.9
buildings.TH-09.planProgress,,TH-09 · avance previsto (%),
buildings.TH-09.deviationDays,,TH-09 · desviación (días),9
buildings.TH-09.forecastFinish,,TH-09 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-08.progress,,TH-08 · avance ejecutado (%),12.2
buildings.TH-08.planProgress,,TH-08 · avance previsto (%),
buildings.TH-08.deviationDays,,TH-08 · desviación (días),0
buildings.TH-08.forecastFinish,,TH-08 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-07.progress,,TH-07 · avance ejecutado (%),12.2
buildings.TH-07.planProgress,,TH-07 · avance previsto (%),
buildings.TH-07.deviationDays,,TH-07 · desviación (días),-11
buildings.TH-07.forecastFinish,,TH-07 · fin previsto (dd/mm/aaaa),26/11/2026
buildings.TH-12.progress,,TH-12 · avance ejecutado (%),12.2
buildings.TH-12.planProgress,,TH-12 · avance previsto (%),
buildings.TH-12.deviationDays,,TH-12 · desviación (días),-13
buildings.TH-12.forecastFinish,,TH-12 · fin previsto (dd/mm/aaaa),03/12/2026
buildings.TH-11.progress,,TH-11 · avance ejecutado (%),5.9
buildings.TH-11.planProgress,,TH-11 · avance previsto (%),
buildings.TH-11.deviationDays,,TH-11 · desviación (días),20
buildings.TH-11.forecastFinish,,TH-11 · fin previsto (dd/mm/aaaa),18/01/2027
buildings.TH-10.progress,,TH-10 · avance ejecutado (%),5.9
buildings.TH-10.planProgress,,TH-10 · avance previsto (%),
buildings.TH-10.deviationDays,,TH-10 · desviación (días),4
buildings.TH-10.forecastFinish,,TH-10 · fin previsto (dd/mm/aaaa),18/01/2027
buildings.TH-15.progress,,TH-15 · avance ejecutado (%),3.1
buildings.TH-15.planProgress,,TH-15 · avance previsto (%),
buildings.TH-15.deviationDays,,TH-15 · desviación (días),14
buildings.TH-15.forecastFinish,,TH-15 · fin previsto (dd/mm/aaaa),10/02/2027
buildings.TH-14.progress,,TH-14 · avance ejecutado (%),3.1
buildings.TH-14.planProgress,,TH-14 · avance previsto (%),
buildings.TH-14.deviationDays,,TH-14 · desviación (días),14
buildings.TH-14.forecastFinish,,TH-14 · fin previsto (dd/mm/aaaa),19/02/2027
buildings.TH-13.progress,,TH-13 · avance ejecutado (%),0
buildings.TH-13.planProgress,,TH-13 · avance previsto (%),
buildings.TH-13.deviationDays,,TH-13 · desviación (días),14
buildings.TH-13.forecastFinish,,TH-13 · fin previsto (dd/mm/aaaa),02/03/2027
buildings.TH-18.progress,,TH-18 · avance ejecutado (%),0
buildings.TH-18.planProgress,,TH-18 · avance previsto (%),
buildings.TH-18.deviationDays,,TH-18 · desviación (días),13
buildings.TH-18.forecastFinish,,TH-18 · fin previsto (dd/mm/aaaa),10/03/2027
buildings.TH-17.progress,,TH-17 · avance ejecutado (%),0
buildings.TH-17.planProgress,,TH-17 · avance previsto (%),
buildings.TH-17.deviationDays,,TH-17 · desviación (días),11
buildings.TH-17.forecastFinish,,TH-17 · fin previsto (dd/mm/aaaa),19/03/2027
buildings.TH-16.progress,,TH-16 · avance ejecutado (%),0
buildings.TH-16.planProgress,,TH-16 · avance previsto (%),
buildings.TH-16.deviationDays,,TH-16 · desviación (días),13
buildings.TH-16.forecastFinish,,TH-16 · fin previsto (dd/mm/aaaa),30/03/2027
buildings.TH-71.progress,,TH-71 · avance ejecutado (%),0
buildings.TH-71.planProgress,,TH-71 · avance previsto (%),
buildings.TH-71.deviationDays,,TH-71 · desviación (días),12
buildings.TH-71.forecastFinish,,TH-71 · fin previsto (dd/mm/aaaa),07/04/2027
buildings.TH-70.progress,,TH-70 · avance ejecutado (%),0
buildings.TH-70.planProgress,,TH-70 · avance previsto (%),
buildings.TH-70.deviationDays,,TH-70 · desviación (días),10
buildings.TH-70.forecastFinish,,TH-70 · fin previsto (dd/mm/aaaa),16/04/2027
buildings.TH-73.progress,,TH-73 · avance ejecutado (%),0
buildings.TH-73.planProgress,,TH-73 · avance previsto (%),
buildings.TH-73.deviationDays,,TH-73 · desviación (días),12
buildings.TH-73.forecastFinish,,TH-73 · fin previsto (dd/mm/aaaa),27/04/2027
buildings.TH-72.progress,,TH-72 · avance ejecutado (%),0
buildings.TH-72.planProgress,,TH-72 · avance previsto (%),
buildings.TH-72.deviationDays,,TH-72 · desviación (días),9
buildings.TH-72.forecastFinish,,TH-72 · fin previsto (dd/mm/aaaa),05/05/2027
buildings.TH-75.progress,,TH-75 · avance ejecutado (%),0
buildings.TH-75.planProgress,,TH-75 · avance previsto (%),
buildings.TH-75.deviationDays,,TH-75 · desviación (días),9
buildings.TH-75.forecastFinish,,TH-75 · fin previsto (dd/mm/aaaa),14/05/2027
