clave,valor,descripcion,valor actual
buildings.TH-53.units.53-101.progress,,TH-53 · apto 53-101 · avance (%),0
buildings.TH-53.units.53-101.phase,,TH-53 · apto 53-101 · fase,Obra común
buildings.TH-53.units.53-102.progress,,TH-53 · apto 53-102 · avance (%),0
buildings.TH-53.units.53-102.phase,,TH-53 · apto 53-102 · fase,Obra común
buildings.TH-53.units.53-201.progress,,TH-53 · apto 53-201 · avance (%),0
buildings.TH-53.units.53-201.phase,,TH-53 · apto 53-201 · fase,Obra común
buildings.TH-53.units.53-202.progress,,TH-53 · apto 53-202 · avance (%),0
buildings.TH-53.units.53-202.phase,,TH-53 · apto 53-202 · fase,Obra común
buildings.TH-53.units.53-301.progress,,TH-53 · apto 53-301 · avance (%),0
buildings.TH-53.units.53-301.phase,,TH-53 · apto 53-301 · fase,Obra común
buildings.TH-53.units.53-302.progress,,TH-53 · apto 53-302 · avance (%),0
buildings.TH-53.units.53-302.phase,,TH-53 · apto 53-302 · fase,Obra común
buildings.TH-54.units.54-101.progress,,TH-54 · apto 54-101 · avance (%),0
buildings.TH-54.units.54-101.phase,,TH-54 · apto 54-101 · fase,Obra común
buildings.TH-54.units.54-102.progress,,TH-54 · apto 54-102 · avance (%),0
buildings.TH-54.units.54-102.phase,,TH-54 · apto 54-102 · fase,Obra común
buildings.TH-54.units.54-201.progress,,TH-54 · apto 54-201 · avance (%),0
buildings.TH-54.units.54-201.phase,,TH-54 · apto 54-201 · fase,Obra común
buildings.TH-54.units.54-202.progress,,TH-54 · apto 54-202 · avance (%),0
buildings.TH-54.units.54-202.phase,,TH-54 · apto 54-202 · fase,Obra común
buildings.TH-54.units.54-301.progress,,TH-54 · apto 54-301 · avance (%),0
buildings.TH-54.units.54-301.phase,,TH-54 · apto 54-301 · fase,Obra común
buildings.TH-54.units.54-302.progress,,TH-54 · apto 54-302 · avance (%),0
buildings.TH-54.units.54-302.phase,,TH-54 · apto 54-302 · fase,Obra común
buildings.TH-55.units.55-101.progress,,TH-55 · apto 55-101 · avance (%),0
buildings.TH-55.units.55-101.phase,,TH-55 · apto 55-101 · fase,Obra común
buildings.TH-55.units.55-102.progress,,TH-55 · apto 55-102 · avance (%),0
buildings.TH-55.units.55-102.phase,,TH-55 · apto 55-102 · fase,Obra común
buildings.TH-55.units.55-201.progress,,TH-55 · apto 55-201 · avance (%),0
buildings.TH-55.units.55-201.phase,,TH-55 · apto 55-201 · fase,Obra común
buildings.TH-55.units.55-202.progress,,TH-55 · apto 55-202 · avance (%),0
buildings.TH-55.units.55-202.phase,,TH-55 · apto 55-202 · fase,Obra común
buildings.TH-55.units.55-301.progress,,TH-55 · apto 55-301 · avance (%),0
buildings.TH-55.units.55-301.phase,,TH-55 · apto 55-301 · fase,Obra común
buildings.TH-55.units.55-302.progress,,TH-55 · apto 55-302 · avance (%),0
buildings.TH-55.units.55-302.phase,,TH-55 · apto 55-302 · fase,Obra común
buildings.TH-56.units.56-101.progress,,TH-56 · apto 56-101 · avance (%),0
buildings.TH-56.units.56-101.phase,,TH-56 · apto 56-101 · fase,Obra común
buildings.TH-56.units.56-102.progress,,TH-56 · apto 56-102 · avance (%),0
buildings.TH-56.units.56-102.phase,,TH-56 · apto 56-102 · fase,Obra común
buildings.TH-56.units.56-201.progress,,TH-56 · apto 56-201 · avance (%),0
buildings.TH-56.units.56-201.phase,,TH-56 · apto 56-201 · fase,Obra común
buildings.TH-56.units.56-202.progress,,TH-56 · apto 56-202 · avance (%),0
buildings.TH-56.units.56-202.phase,,TH-56 · apto 56-202 · fase,Obra común
buildings.TH-56.units.56-301.progress,,TH-56 · apto 56-301 · avance (%),0
buildings.TH-56.units.56-301.phase,,TH-56 · apto 56-301 · fase,Obra común
buildings.TH-56.units.56-302.progress,,TH-56 · apto 56-302 · avance (%),0
buildings.TH-56.units.56-302.phase,,TH-56 · apto 56-302 · fase,Obra común
buildings.TH-57.units.57-101.progress,,TH-57 · apto 57-101 · avance (%),0
buildings.TH-57.units.57-101.phase,,TH-57 · apto 57-101 · fase,Obra común
buildings.TH-57.units.57-102.progress,,TH-57 · apto 57-102 · avance (%),0
buildings.TH-57.units.57-102.phase,,TH-57 · apto 57-102 · fase,Obra común
buildings.TH-57.units.57-201.progress,,TH-57 · apto 57-201 · avance (%),0
buildings.TH-57.units.57-201.phase,,TH-57 · apto 57-201 · fase,Obra común
buildings.TH-57.units.57-202.progress,,TH-57 · apto 57-202 · avance (%),0
buildings.TH-57.units.57-202.phase,,TH-57 · apto 57-202 · fase,Obra común
buildings.TH-57.units.57-301.progress,,TH-57 · apto 57-301 · avance (%),0
buildings.TH-57.units.57-301.phase,,TH-57 · apto 57-301 · fase,Obra común
buildings.TH-57.units.57-302.progress,,TH-57 · apto 57-302 · avance (%),0
buildings.TH-57.units.57-302.phase,,TH-57 · apto 57-302 · fase,Obra común
buildings.TH-58.units.58-101.progress,,TH-58 · apto 58-101 · avance (%),0
buildings.TH-58.units.58-101.phase,,TH-58 · apto 58-101 · fase,Obra común
