clave,valor,descripcion,valor actual
urbanismAreas.urban-general.progress,,Urbanismo general · avance ejecutado (%),18.28
urbanismAreas.urban-general.planned,,Urbanismo general · avance previsto (%),16.18
urbanismAreas.urban-roads.progress,,Viales y circulación · avance ejecutado (%),
urbanismAreas.urban-roads.planned,,Viales y circulación · avance previsto (%),
urbanismAreas.urban-parking.progress,,Estacionamientos · avance ejecutado (%),
urbanismAreas.urban-parking.planned,,Estacionamientos · avance previsto (%),
urbanismAreas.urban-landscape.progress,,Paisajismo y áreas verdes · avance ejecutado (%),
urbanismAreas.urban-landscape.planned,,Paisajismo y áreas verdes · avance previsto (%),
urbanismAreas.urban-facilities.progress,,Equipamientos comunes · avance ejecutado (%),
urbanismAreas.urban-facilities.planned,,Equipamientos comunes · avance previsto (%),
urbanismAreas.urban-access.progress,,Acceso principal · avance ejecutado (%),
urbanismAreas.urban-access.planned,,Acceso principal · avance previsto (%),
