clave,valor,descripcion,valor actual
monthlyPlan.0.planned,,jun 25 · previsto acumulado (%),0
monthlyPlan.0.actual,,jun 25 · ejecutado real acumulado (%),0
monthlyPlan.1.planned,,jul · previsto acumulado (%),0.52
monthlyPlan.1.actual,,jul · ejecutado real acumulado (%),0.31
monthlyPlan.2.planned,,ago · previsto acumulado (%),1.21
monthlyPlan.2.actual,,ago · ejecutado real acumulado (%),0.94
monthlyPlan.3.planned,,sep · previsto acumulado (%),2.07
monthlyPlan.3.actual,,sep · ejecutado real acumulado (%),1.88
monthlyPlan.4.planned,,oct · previsto acumulado (%),2.76
monthlyPlan.4.actual,,oct · ejecutado real acumulado (%),2.51
monthlyPlan.5.planned,,nov · previsto acumulado (%),3.7
monthlyPlan.5.actual,,nov · ejecutado real acumulado (%),3.45
monthlyPlan.6.planned,,dic · previsto acumulado (%),4.11
monthlyPlan.6.actual,,dic · ejecutado real acumulado (%),3.83
monthlyPlan.7.planned,,ene 26 · previsto acumulado (%),4.48
monthlyPlan.7.actual,,ene 26 · ejecutado real acumulado (%),4.47
monthlyPlan.8.planned,,feb · previsto acumulado (%),4.97
monthlyPlan.8.actual,,feb · ejecutado real acumulado (%),6.05
monthlyPlan.9.planned,,mar · previsto acumulado (%),6.72
monthlyPlan.9.actual,,mar · ejecutado real acumulado (%),8.96
monthlyPlan.10.planned,,abr · previsto acumulado (%),11.07
monthlyPlan.10.actual,,abr · ejecutado real acumulado (%),11.59
monthlyPlan.11.planned,,may · previsto acumulado (%),16.67
monthlyPlan.11.actual,,may · ejecutado real acumulado (%),16
monthlyPlan.12.planned,,jun · previsto acumulado (%),23.29
monthlyPlan.12.actual,,jun · ejecutado real acumulado (%),18.23
monthlyPlan.13.planned,,jul · previsto acumulado (%),26.61
monthlyPlan.13.actual,,jul · ejecutado real acumulado (%),22.71
monthlyPlan.14.planned,,ago · previsto acumulado (%),40.78
monthlyPlan.14.actual,,ago · ejecutado real acumulado (%),
monthlyPlan.15.planned,,sep · previsto acumulado (%),52.44
monthlyPlan.15.actual,,sep · ejecutado real acumulado (%),
monthlyPlan.16.planned,,oct · previsto acumulado (%),62.97
monthlyPlan.16.actual,,oct · ejecutado real acumulado (%),
monthlyPlan.17.planned,,nov · previsto acumulado (%),74.74
monthlyPlan.17.actual,,nov · ejecutado real acumulado (%),
monthlyPlan.18.planned,,dic · previsto acumulado (%),80.9
monthlyPlan.18.actual,,dic · ejecutado real acumulado (%),
monthlyPlan.19.planned,,ene 27 · previsto acumulado (%),83.02
monthlyPlan.19.actual,,ene 27 · ejecutado real acumulado (%),
monthlyPlan.20.planned,,feb · previsto acumulado (%),87.9
monthlyPlan.20.actual,,feb · ejecutado real acumulado (%),
monthlyPlan.21.planned,,mar · previsto acumulado (%),92.75
monthlyPlan.21.actual,,mar · ejecutado real acumulado (%),
monthlyPlan.22.planned,,abr · previsto acumulado (%),95.32
monthlyPlan.22.actual,,abr · ejecutado real acumulado (%),
monthlyPlan.23.planned,,may · previsto acumulado (%),97.31
monthlyPlan.23.actual,,may · ejecutado real acumulado (%),
monthlyPlan.24.planned,,jun · previsto acumulado (%),98.75
monthlyPlan.24.actual,,jun · ejecutado real acumulado (%),
monthlyPlan.25.planned,,jul · previsto acumulado (%),99.56
monthlyPlan.25.actual,,jul · ejecutado real acumulado (%),
monthlyPlan.26.planned,,ago · previsto acumulado (%),100
monthlyPlan.26.actual,,ago · ejecutado real acumulado (%),
