clave,valor,descripcion,valor actual
financialProjection.Jul.income,,Jul · ingresos,118000000
financialProjection.Jul.costs,,Jul · costes,143700628.5
financialProjection.Jul.net,,Jul · neto,-25700628.5
financialProjection.Jul.cumulative,,Jul · acumulado,23499178.12
financialProjection.Ago.income,,Ago · ingresos,118000000
financialProjection.Ago.costs,,Ago · costes,101926544.92
financialProjection.Ago.net,,Ago · neto,16073455.08
financialProjection.Ago.cumulative,,Ago · acumulado,39572633.2
financialProjection.Sep.income,,Sep · ingresos,8000000
financialProjection.Sep.costs,,Sep · costes,106054700.1
financialProjection.Sep.net,,Sep · neto,-98054700.1
financialProjection.Sep.cumulative,,Sep · acumulado,-58482066.9
financialProjection.Oct.income,,Oct · ingresos,18000000
financialProjection.Oct.costs,,Oct · costes,96702272.57
financialProjection.Oct.net,,Oct · neto,-78702272.57
financialProjection.Oct.cumulative,,Oct · acumulado,-137184339.47
financialProjection.Nov.income,,Nov · ingresos,178000000
financialProjection.Nov.costs,,Nov · costes,96017781.13
financialProjection.Nov.net,,Nov · neto,81982218.87
financialProjection.Nov.cumulative,,Nov · acumulado,-55202120.6
financialProjection.Dic.income,,Dic · ingresos,18000000
financialProjection.Dic.costs,,Dic · costes,87994390.63
financialProjection.Dic.net,,Dic · neto,-69994390.63
financialProjection.Dic.cumulative,,Dic · acumulado,-125196511.23
