clave,valor,descripcion,valor actual
reprogrammedFlowMonths.0.month,,Mes 1,dic-25
reprogrammedFlowMonths.0.status,,dic-25 · real o previsión,actual
reprogrammedFlowMonths.0.currentDop,,dic-25 · total DOP,16398543.68
reprogrammedFlowMonths.0.urbanismDop,,dic-25 · Urbanismo DOP,15407306.5
reprogrammedFlowMonths.0.buildingsDop,,dic-25 · Edificios DOP,991237.18
reprogrammedFlowMonths.1.month,,Mes 2,ene-26
reprogrammedFlowMonths.1.status,,ene-26 · real o previsión,actual
reprogrammedFlowMonths.1.currentDop,,ene-26 · total DOP,2355501.36
reprogrammedFlowMonths.1.urbanismDop,,ene-26 · Urbanismo DOP,222844.91
reprogrammedFlowMonths.1.buildingsDop,,ene-26 · Edificios DOP,2132656.45
reprogrammedFlowMonths.2.month,,Mes 3,feb-26
reprogrammedFlowMonths.2.status,,feb-26 · real o previsión,actual
reprogrammedFlowMonths.2.currentDop,,feb-26 · total DOP,8871467.26
reprogrammedFlowMonths.2.urbanismDop,,feb-26 · Urbanismo DOP,2449569.83
reprogrammedFlowMonths.2.buildingsDop,,feb-26 · Edificios DOP,6421897.43
reprogrammedFlowMonths.3.month,,Mes 4,mar-26
reprogrammedFlowMonths.3.status,,mar-26 · real o previsión,actual
reprogrammedFlowMonths.3.currentDop,,mar-26 · total DOP,25457547.15
reprogrammedFlowMonths.3.urbanismDop,,mar-26 · Urbanismo DOP,1833923.43
reprogrammedFlowMonths.3.buildingsDop,,mar-26 · Edificios DOP,23623623.72
reprogrammedFlowMonths.4.month,,Mes 5,abr-26
reprogrammedFlowMonths.4.status,,abr-26 · real o previsión,actual
reprogrammedFlowMonths.4.currentDop,,abr-26 · total DOP,19895044.07
reprogrammedFlowMonths.4.urbanismDop,,abr-26 · Urbanismo DOP,2442502.32
reprogrammedFlowMonths.4.buildingsDop,,abr-26 · Edificios DOP,17452541.75
reprogrammedFlowMonths.5.month,,Mes 6,may-26
